,pro ro wnd ec00 mwh/h cet min15 f 2026-01-13T00:00:00+01:00
2026-01-14 03:30:00+01:00,250.8767825696823
2026-01-14 03:45:00+01:00,251.17649960338335
2026-01-14 04:00:00+01:00,251.47621663708438
2026-01-14 04:15:00+01:00,244.475588461131
2026-01-14 04:30:00+01:00,237.47496028517762
2026-01-14 04:45:00+01:00,230.47433210922424
2026-01-14 05:00:00+01:00,223.47370393327085
2026-01-14 05:15:00+01:00,220.99189474890738
2026-01-14 05:30:00+01:00,218.51008556454394
2026-01-14 05:45:00+01:00,216.02827638018047
2026-01-14 06:00:00+01:00,213.54646719581703
2026-01-14 06:15:00+01:00,208.59912141688272
2026-01-14 06:30:00+01:00,203.65177563794845
2026-01-14 06:45:00+01:00,198.70442985901414
2026-01-14 07:00:00+01:00,193.75708408007984
2026-01-14 07:15:00+01:00,184.3735128035135
2026-01-14 07:30:00+01:00,174.9899415269472
2026-01-14 07:45:00+01:00,165.60637025038088
2026-01-14 08:00:00+01:00,156.22279897381455
2026-01-14 08:15:00+01:00,140.55247108182212
2026-01-14 08:30:00+01:00,124.8821431898297
2026-01-14 08:45:00+01:00,109.21181529783728
2026-01-14 09:00:00+01:00,93.54148740584486
2026-01-14 09:15:00+01:00,84.65698425934711
2026-01-14 09:30:00+01:00,75.77248111284936
2026-01-14 09:45:00+01:00,66.88797796635163
2026-01-14 10:00:00+01:00,58.00347481985388
2026-01-14 10:15:00+01:00,58.449135224889766
2026-01-14 10:30:00+01:00,58.89479562992566
2026-01-14 10:45:00+01:00,59.340456034961555
2026-01-14 11:00:00+01:00,59.78611643999744
2026-01-14 11:15:00+01:00,68.33940278782916
2026-01-14 11:30:00+01:00,76.89268913566089
2026-01-14 11:45:00+01:00,85.4459754834926
2026-01-14 12:00:00+01:00,93.99926183132432
2026-01-14 12:15:00+01:00,104.80819497174375
2026-01-14 12:30:00+01:00,115.6171281121632
2026-01-14 12:45:00+01:00,126.42606125258263
2026-01-14 13:00:00+01:00,137.23499439300204
2026-01-14 13:15:00+01:00,145.36391684919715
2026-01-14 13:30:00+01:00,153.49283930539227
2026-01-14 13:45:00+01:00,161.62176176158738
2026-01-14 14:00:00+01:00,169.75068421778246
2026-01-14 14:15:00+01:00,172.48177782937563
2026-01-14 14:30:00+01:00,175.21287144096877
2026-01-14 14:45:00+01:00,177.9439650525619
2026-01-14 15:00:00+01:00,180.67505866415505
2026-01-14 15:15:00+01:00,181.47323198706854
2026-01-14 15:30:00+01:00,182.27140530998207
